----------------------------------------------------------------------
My Process Log
Log file created at : Sun Jun  2 10:27:43 2024
----------------------------------------------------------------------
CONTENTS OF LOG FILE
----------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0} 
{'name': 'chrome.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 9252} 
{'name': 'svchost.exe', 'username': None, 'pid': 9332} 
{'name': 'SocketHeciServer.exe', 'username': None, 'pid': 9360} 
{'name': 'svchost.exe', 'username': None, 'pid': 9608} 
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 9628} 
{'name': 'SystemSettingsBroker.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 9720} 
{'name': 'chrome.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 9756} 
{'name': 'SearchIndexer.exe', 'username': None, 'pid': 9832} 
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 9900} 
{'name': 'ShellExperienceHost.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 9904} 
{'name': 'McUICnt.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 9940} 
{'name': 'svchost.exe', 'username': None, 'pid': 10028} 
{'name': 'mcafee-security.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 10040} 
{'name': 'svchost.exe', 'username': None, 'pid': 10132} 
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 10224} 
{'name': 'BridgeCommunication.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 10276} 
{'name': 'cmd.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 10304} 
{'name': 'svchost.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 10744} 
{'name': 'McCSPServiceHost.exe', 'username': None, 'pid': 10804} 
{'name': 'mcafee-security-ft.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 10812} 
{'name': 'msedge.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 11092} 
{'name': 'svchost.exe', 'username': None, 'pid': 11320} 
